"Tag","Serial Number","Sample ID","Date","Elapsed time (s)","Volume (l)","Pressure (psi)","Flow (l/min)","Rate (mL/m)","Speed (m/s)","Latitude","Longitude","Elevation (m)","Accuracy (±m)","Status"
"WE261112D_00009","WE261112D","00009","2023-08-21",0,0,-0.12,0,0,0.04,47.037781,-88.515579,181.5,3.1,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",2,0,-0.14,0,0,0.04,47.037781,-88.515579,181.4,3.1,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",4,0,-0.02,0.14,61,0.04,47.037782,-88.515577,181.1,3.1,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",6,0.03,0.19,0.54,242.26,0.04,47.037783,-88.515575,180.8,2.5,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",8,0.05,1.03,0.55,243.15,0.04,47.037782,-88.515574,180.6,2.5,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",10,0.05,2.4,0.28,143.15,0.03,47.037783,-88.515574,180.5,2.5,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",12,0.05,3.42,0.12,57.39,0.03,47.037783,-88.515572,180.3,2.5,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",14,0.05,3.36,0.03,14.29,0.04,47.037783,-88.515571,180.3,2.5,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",16,0.05,5.87,0.01,4.46,0.04,47.037783,-88.51557,180.1,2.5,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",18,0.07,6.59,0.47,228.38,0.03,47.037784,-88.515569,179.7,2.5,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",20,0.11,8.05,0.91,450.72,0.03,47.037784,-88.515569,179.3,2.5,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",22,0.15,7.42,1.15,545.28,0.04,47.037784,-88.515569,179.3,2.5,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",24,0.19,6.47,1.19,544.12,0.04,47.037783,-88.515569,179.3,2.5,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",26,0.23,3.92,1.14,517.71,0.04,47.037783,-88.515569,179.3,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",28,0.26,5.03,1.01,444.15,0.04,47.037782,-88.51557,179.4,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",30,0.3,5.08,1.01,442.4,0.04,47.037781,-88.51557,179.4,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",32,0.33,4.78,1.01,465.01,0.04,47.037781,-88.51557,179.2,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",34,0.36,4.58,1,481,0.03,47.03778,-88.515571,179.2,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",36,0.4,4.52,1,535.05,0.03,47.037779,-88.515571,179.2,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",38,0.43,4.38,1.01,487.22,0.03,47.037779,-88.515571,179.2,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",40,0.46,7.77,1,493.83,0.03,47.037778,-88.51557,179.1,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",42,0.5,6.44,0.98,475.5,0.03,47.037777,-88.515571,179,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",44,0.53,4.43,1.02,513.6,0.03,47.037776,-88.515573,179,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",46,0.56,4.95,1,465.55,0.04,47.037775,-88.515575,179,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",48,0.59,4.66,0.85,394.07,0.04,47.037775,-88.515575,178.9,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",50,0.62,6.2,0.8,366.8,0.04,47.037775,-88.515575,178.8,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",52,0.65,7.01,0.89,405.28,0.04,47.037774,-88.515576,178.8,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",54,0.68,7.51,1,460.41,0.04,47.037775,-88.515576,178.9,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",56,0.72,7.74,1.08,497.24,0.04,47.037775,-88.515577,179,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",58,0.76,8.05,1.12,549.02,0.03,47.037775,-88.515577,179,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",60,0.8,6.39,1.12,545.01,0.03,47.037775,-88.515578,179,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",62,0.83,4.97,1.08,549.62,0.03,47.037775,-88.515578,179,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",64,0.86,5.47,1.01,543.01,0.03,47.037775,-88.515578,179,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",66,0.9,5.6,1.01,591.68,0.03,47.037775,-88.515578,179,2.4,NA
"WE261112D_00009","WE261112D","00009","2023-08-21",68,0.93,5.23,1,596.3,0.03,47.037774,-88.515578,178.8,2.4,NA
