"Tag","Serial Number","Sample ID","Date","Elapsed time (s)","Volume (l)","Pressure (psi)","Flow (l/min)","Rate (mL/m)","Speed (m/s)","Latitude","Longitude","Elevation (m)","Accuracy (±m)","Status"
"WF5141158_00040","WF5141158","00040","2023-08-09",0,0,-0.01,0,0,2.18,41.457456,-82.144153,105.3,9.1,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",2,0,0.01,0,0,2.19,41.457392,-82.144117,167.5,9.1,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",4,0,0.3,0.07,0.53,2.19,41.457369,-82.144072,168,9.1,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",6,0,1.11,0.02,0.15,2.18,41.457347,-82.144033,169.1,9.1,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",8,0,2.12,0.01,0.08,2.18,41.457327,-82.14399,167.6,9.1,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",10,0,2.95,0,0,2.17,41.457305,-82.143953,169.1,7.4,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",12,0,3.02,0,0,2.18,41.457286,-82.143912,168.4,7.4,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",14,0,4.66,0,0,2.18,41.457268,-82.14387,167.4,7.4,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",16,0.02,6.19,0.49,3.75,2.18,41.457247,-82.143826,166.9,7.4,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",18,0.06,5.2,0.92,7.03,2.18,41.457218,-82.143781,175.2,7.4,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",20,0.09,0.56,0.9,6.89,2.18,41.457196,-82.143737,174.1,6.1,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",22,0.11,3.45,0.7,5.35,2.18,41.457174,-82.143692,173.1,6.1,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",24,0.14,0.65,0.77,5.89,2.18,41.457151,-82.143649,175.3,6.1,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",26,0.16,2.9,0.67,5.12,2.18,41.457129,-82.143607,176.2,6.1,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",28,0.19,0.73,0.74,5.66,2.18,41.457108,-82.143565,176.4,6.1,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",30,0.21,2.02,0.68,5.2,2.18,41.457086,-82.143523,176.1,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",32,0.23,2.72,0.72,5.51,2.18,41.457065,-82.143481,175.9,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",34,0.25,1.38,0.69,5.29,2.17,41.457044,-82.143438,175.7,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",36,0.28,2.78,0.71,5.45,2.17,41.457022,-82.143397,175.7,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",38,0.3,2.46,0.7,5.38,2.17,41.457,-82.143355,175.7,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",40,0.33,2.82,0.71,5.47,2.16,41.456978,-82.143313,175.4,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",42,0.35,2.52,0.69,5.33,2.16,41.456957,-82.143271,175.5,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",44,0.37,1,0.71,5.48,2.16,41.456935,-82.143229,175.2,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",46,0.4,2.8,0.69,5.34,2.15,41.456913,-82.143187,175,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",48,0.42,1.54,0.7,5.42,2.15,41.456891,-82.143145,174.9,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",50,0.44,1.21,0.7,5.41,2.15,41.456868,-82.143103,174.8,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",52,0.47,2.13,0.7,5.41,2.15,41.456846,-82.14306,174.8,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",54,0.49,1.18,0.7,5.4,2.16,41.456824,-82.143017,174.7,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",56,0.51,2.14,0.69,5.33,2.16,41.456803,-82.142974,174.7,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",58,0.54,1.88,0.7,5.4,2.16,41.456781,-82.14293,174.7,5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",60,0.56,1.27,0.7,5.38,2.17,41.456759,-82.142886,174.5,5.9,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",62,0.58,1.28,0.7,5.38,2.17,41.456738,-82.142842,174.4,5.9,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",64,0.61,2.89,0.7,5.37,2.17,41.456717,-82.142798,174.5,5.9,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",66,0.63,1.58,0.69,5.29,2.17,41.456696,-82.142754,174.4,5.9,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",68,0.65,2.77,0.71,5.44,2.17,41.456675,-82.14271,174.4,5.9,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",70,0.68,2.78,0.69,5.29,2.17,41.456654,-82.142666,174.4,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",72,0.7,2.89,0.71,5.44,2.17,41.456632,-82.142623,174.6,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",74,0.72,1.37,0.7,5.37,2.17,41.456611,-82.142579,174.7,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",76,0.75,1.86,0.7,5.37,2.17,41.456589,-82.142536,174.8,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",78,0.77,2.98,0.7,5.37,2.17,41.456567,-82.142493,174.8,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",80,0.79,1.43,0.71,5.45,2.17,41.456545,-82.142451,174.8,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",82,0.82,2.12,0.69,5.3,2.17,41.456523,-82.142409,174.9,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",84,0.84,1.14,0.71,5.46,2.17,41.456502,-82.142367,174.9,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",86,0.86,1.68,0.7,5.39,2.16,41.45648,-82.142325,174.9,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",88,0.89,2.49,0.7,5.4,2.16,41.456457,-82.142283,174.9,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",90,0.91,1.71,0.7,5.4,2.16,41.456436,-82.142241,174.9,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",92,0.93,2.4,0.7,5.4,2.16,41.456413,-82.142199,174.7,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",94,0.96,1.37,0.69,5.33,2.16,41.45639,-82.142157,174.7,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",96,0.98,1.34,0.71,5.49,2.16,41.456368,-82.142116,174.5,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",98,1,1.85,0.69,5.34,2.15,41.456345,-82.142075,174.3,4.2,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",100,1.03,2.82,0.7,5.42,2.15,41.456322,-82.142034,174.2,4.8,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",102,1.05,1.42,0.7,5.42,2.15,41.456297,-82.141994,174.2,4.8,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",104,1.07,1.23,0.7,5.41,2.16,41.456275,-82.141955,173.9,4.8,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",106,1.1,2.71,0.7,5.41,2.16,41.456251,-82.141916,173.9,4.8,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",108,1.12,2.58,0.7,5.41,2.16,41.456226,-82.141877,173.7,4.8,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",110,1.14,1.26,0.7,5.42,2.15,41.456202,-82.141838,173.6,3.5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",112,1.17,1.45,0.7,5.43,2.15,41.456178,-82.141796,173.3,3.5,NA
"WF5141158_00040","WF5141158","00040","2023-08-09",114,1.19,1.44,0.7,5.44,2.14,41.456155,-82.141754,173,3.5,NA
