"Join_Tag","Serial Number","Sample ID","Start Time","Duration","Duration (s)","Total Volume (l)","Distance (m)","Peak Pressure (psi)","Avg Flow (l/min)","Avg Rate (mL/m)","Avg Speed (m/s)"
"WF5141158_00040","WF5141158","00040","2023-08-09 13:33:31 UTC","0:03:32",212,"2.11","452","7.2","0.6","4.6","2.1"
"WF5141158_00041","WF5141158","00041","2023-08-09 15:22:29 UTC","0:03:12",192,"1.98","10","7.5","0.6","234.6","0.1"
"WF5141158_00042","WF5141158","00042","2023-08-09 16:32:29 UTC","0:03:34",214,"2.23","298","11.1","0.6","7.5","1.4"
"WF5141158_00043","WF5141158","00043","2023-08-09 18:12:15 UTC","0:03:24",204,"2.14","11","7.9","0.6","264.0","0.1"
"WF5141158_00044","WF5141158","00044","2023-08-09 19:28:52 UTC","0:03:28",208,"2.18","11","7.5","0.6","215.1","0.1"
"WF5141158_00045","WF5141158","00045","2023-08-10 12:22:18 UTC","0:03:20",200,"2.16","19","8.1","0.6","257.7","0.1"
"WF5141158_00046","WF5141158","00046","2023-08-10 12:50:25 UTC","0:03:20",200,"2.12","20","7.0","0.6","119.1","0.1"
"WF5141158_00047","WF5141158","00047","2023-08-10 13:20:55 UTC","0:03:34",214,"2.21","48","7.9","0.6","46.3","0.2"
"WF5141158_00048","WF5141158","00048","2023-08-10 13:46:06 UTC","1:17:43",4663,"2.12","53","6.6","0.6","41.0","0.3"
"WF5141158_00049","WF5141158","00049","2023-08-10 15:06:39 UTC","0:03:08",188,"2.07","8","6.3","0.7","289.1","0.0"
"WF5141158_00050","WF5141158","00050","2023-08-16 13:11:13 UTC","0:03:12",192,"1.99","7","7.7","0.6","303.0","0.0"
"WF5141158_00051","WF5141158","00051","2023-08-16 14:12:29 UTC","0:03:30",210,"2.17","6","8.9","0.6","413.9","0.0"
"WF5141158_00052","WF5141158","00052","2023-08-16 18:06:57 UTC","0:03:26",206,"2.16","6","7.9","0.6","384.6","0.0"
"WF5141158_00053","WF5141158","00053","2023-08-16 18:34:03 UTC","0:03:10",190,"1.95","13","7.2","0.6","159.8","0.1"
"WF5141158_00054","WF5141158","00054","2023-08-16 19:15:36 UTC","32 days, 23:28:01",NA,"1.97","347","6.9","0.6","22.6","1.1"
"WF5141158_00055","WF5141158","00055","2023-09-18 18:43:39 UTC","0:01:22",82,"2.09","11","7.2","0.6","73.1","0.1"
"WF5141158_00056","WF5141158","00056","2023-09-18 18:52:21 UTC","0:09:51",591,"4.68","140","12.0","0.5","43.8","0.3"
"WF5141158_00057","WF5141158","00057","2023-09-18 19:12:48 UTC","0:03:54",234,"1.90","50","6.6","0.5","47.5","0.2"
"WF5141158_00058","WF5141158","00058","2023-09-18 19:21:19 UTC","0:10:16",616,"5.31","156","12.2","0.5","50.6","0.3"
"WF5141158_00059","WF5141158","00059","2023-09-18 19:41:47 UTC","0:10:55",655,"4.99","293","12.2","0.6","17.4","0.5"
"WF5141158_00060","WF5141158","00060","2023-09-18 20:01:50 UTC","0:09:23",563,"4.93","99","12.3","0.5","65.6","0.2"
"WF5141158_00061","WF5141158","00061","2023-09-18 20:21:49 UTC","0:09:13",553,"4.82","30","12.3","0.5","171.5","0.1"
