Serial Number,WF5141158
Sample ID,00041
Start Time,2023-08-09 15:22:29 UTC
Duration,0:03:12
Total Volume (l),1.98
Distance (m),10
Peak Pressure (psi),7.5
Avg Flow (l/min),0.6
Avg Rate (mL/m),234.6
Avg Speed (m/s),0.1


Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (±m),Status
0,0.00,0.13,0.00,0.00,0.11,41.449719,-82.108879,173.1,3.9,
2,0.00,0.30,0.00,0.00,0.12,41.449728,-82.108894,173.1,3.9,
4,0.00,0.55,0.01,1.42,0.12,41.449730,-82.108902,173.3,3.9,
6,0.00,1.39,0.00,0.00,0.12,41.449733,-82.108908,173.4,3.9,
8,0.00,2.13,0.00,0.00,0.12,41.449733,-82.108911,173.6,3.9,
10,0.00,3.11,0.00,0.00,0.11,41.449733,-82.108915,174.2,3.9,
12,0.00,3.18,0.00,0.00,0.10,41.449732,-82.108917,174.5,3.9,
14,0.00,5.02,0.01,1.83,0.08,41.449736,-82.108923,175.4,3.9,
16,0.03,6.02,0.64,131.77,0.08,41.449741,-82.108931,176.6,3.9,
18,0.06,4.78,0.92,202.02,0.07,41.449747,-82.108941,177.8,3.9,
20,0.09,1.09,0.87,231.08,0.06,41.449752,-82.108951,178.8,3.5,
22,0.12,3.53,0.71,209.44,0.06,41.449756,-82.108965,180.0,3.5,
24,0.14,1.83,0.76,227.61,0.05,41.449764,-82.108970,179.9,3.5,
26,0.16,2.91,0.68,228.26,0.05,41.449771,-82.108970,179.1,3.5,
28,0.19,1.25,0.73,250.86,0.05,41.449773,-82.108974,179.8,3.5,
30,0.21,2.25,0.68,260.84,0.04,41.449776,-82.108977,180.5,3.9,
32,0.23,2.11,0.71,286.52,0.04,41.449780,-82.108978,180.5,3.9,
34,0.26,1.97,0.70,281.12,0.04,41.449784,-82.108979,180.3,3.9,
36,0.28,2.06,0.70,263.36,0.04,41.449781,-82.108980,180.3,3.9,
38,0.31,2.40,0.70,255.01,0.04,41.449780,-82.108979,180.3,3.9,
40,0.33,2.51,0.70,316.17,0.04,41.449780,-82.108977,180.1,3.9,
42,0.35,1.78,0.70,323.62,0.04,41.449781,-82.108976,179.8,3.9,
44,0.38,2.33,0.70,335.25,0.03,41.449782,-82.108976,179.8,3.9,
46,0.40,2.60,0.70,348.26,0.03,41.449783,-82.108974,179.6,3.9,
48,0.42,2.58,0.70,358.97,0.03,41.449785,-82.108973,179.1,3.9,
50,0.45,1.78,0.70,406.50,0.03,41.449786,-82.108972,178.7,3.0,
52,0.47,2.70,0.69,339.23,0.03,41.449787,-82.108973,178.2,3.0,
54,0.49,2.37,0.70,344.66,0.03,41.449786,-82.108972,178.2,3.0,
56,0.52,2.14,0.70,374.53,0.03,41.449784,-82.108970,178.6,3.0,
58,0.54,2.53,0.70,396.83,0.03,41.449782,-82.108966,178.8,3.0,
60,0.56,1.96,0.70,362.32,0.03,41.449781,-82.108964,179.3,3.0,
62,0.59,2.09,0.70,377.56,0.03,41.449779,-82.108965,179.8,3.0,
64,0.61,1.73,0.70,386.95,0.03,41.449775,-82.108966,180.1,3.0,
66,0.63,1.77,0.70,351.41,0.03,41.449773,-82.108965,180.1,3.0,
68,0.66,2.22,0.70,320.07,0.04,41.449771,-82.108964,180.0,3.0,
70,0.68,2.35,0.70,265.45,0.04,41.449768,-82.108964,180.0,3.0,
72,0.70,2.64,0.70,258.97,0.04,41.449769,-82.108961,179.9,3.0,
74,0.73,1.62,0.70,269.44,0.05,41.449769,-82.108958,180.1,3.0,
76,0.75,2.03,0.70,257.26,0.05,41.449767,-82.108958,180.4,3.0,
78,0.77,2.07,0.70,257.26,0.04,41.449764,-82.108955,180.5,3.0,
80,0.80,2.59,0.70,268.20,0.04,41.449761,-82.108952,180.3,3.6,
82,0.82,1.77,0.70,266.06,0.04,41.449759,-82.108947,179.5,3.6,
84,0.84,2.11,0.70,259.55,0.05,41.449756,-82.108949,179.4,3.6,
86,0.87,2.11,0.70,252.53,0.05,41.449757,-82.108948,178.6,3.6,
88,0.89,2.52,0.70,241.30,0.05,41.449754,-82.108946,178.1,3.6,
90,0.91,1.80,0.70,243.82,0.05,41.449754,-82.108939,177.0,3.4,
92,0.94,2.02,0.70,242.55,0.05,41.449756,-82.108933,175.6,3.4,
94,0.96,2.43,0.70,219.30,0.05,41.449752,-82.108931,175.5,3.4,
96,0.98,2.13,0.70,230.34,0.05,41.449753,-82.108927,175.3,3.4,
98,1.01,2.29,0.69,220.10,0.05,41.449753,-82.108924,175.1,3.4,
100,1.03,2.11,0.70,211.35,0.05,41.449755,-82.108924,175.1,3.4,
102,1.05,2.57,0.69,207.77,0.06,41.449757,-82.108924,175.4,3.4,
104,1.08,2.10,0.71,213.79,0.05,41.449756,-82.108924,175.8,3.4,
106,1.10,2.16,0.70,225.23,0.05,41.449756,-82.108923,176.3,3.4,
108,1.12,2.66,0.70,242.05,0.05,41.449755,-82.108923,176.9,3.4,
110,1.15,1.68,0.70,258.68,0.04,41.449753,-82.108922,177.4,3.4,
112,1.17,1.86,0.70,277.12,0.04,41.449752,-82.108920,177.7,3.4,
114,1.19,2.48,0.70,330.50,0.04,41.449751,-82.108918,177.7,3.4,
116,1.22,2.60,0.70,319.20,0.03,41.449750,-82.108918,177.7,3.4,
118,1.24,1.77,0.70,332.38,0.03,41.449750,-82.108917,177.5,3.4,
120,1.26,2.13,0.70,363.45,0.03,41.449748,-82.108917,177.3,2.7,
122,1.29,1.93,0.70,354.61,0.03,41.449746,-82.108918,177.2,2.7,
124,1.31,1.73,0.70,333.81,0.04,41.449745,-82.108919,177.2,2.7,
126,1.33,1.95,0.70,325.43,0.04,41.449742,-82.108919,177.3,2.7,
128,1.36,1.72,0.70,307.83,0.04,41.449740,-82.108918,177.5,2.7,
130,1.38,2.22,0.71,282.08,0.04,41.449738,-82.108917,177.9,2.7,
132,1.40,2.65,0.70,286.30,0.05,41.449734,-82.108911,178.6,2.7,
134,1.43,2.67,0.70,255.01,0.05,41.449731,-82.108907,179.1,2.7,
136,1.45,1.74,0.70,249.55,0.05,41.449728,-82.108905,179.5,2.7,
138,1.47,2.47,0.70,243.56,0.05,41.449726,-82.108903,179.7,2.7,
140,1.50,1.87,0.70,222.22,0.05,41.449724,-82.108902,179.9,3.0,
142,1.52,2.16,0.70,221.80,0.05,41.449722,-82.108902,180.1,3.0,
144,1.54,1.90,0.70,223.07,0.05,41.449721,-82.108903,180.2,3.0,
146,1.57,2.30,0.70,226.76,0.05,41.449721,-82.108904,180.2,3.0,
148,1.59,2.63,0.70,250.36,0.05,41.449720,-82.108907,180.4,3.0,
150,1.61,2.26,0.70,250.09,0.05,41.449719,-82.108907,180.6,4.9,
152,1.64,2.52,0.70,245.61,0.04,41.449719,-82.108906,180.5,4.9,
154,1.66,1.72,0.70,258.11,0.05,41.449720,-82.108905,180.2,4.9,
156,1.68,2.64,0.70,260.71,0.04,41.449721,-82.108903,179.9,4.9,
158,1.71,2.16,0.70,271.63,0.04,41.449721,-82.108901,179.5,4.9,
160,1.73,1.86,0.70,247.44,0.05,41.449719,-82.108900,179.6,3.3,
162,1.75,2.85,0.70,226.54,0.05,41.449717,-82.108900,179.8,3.3,
164,1.78,5.86,0.68,220.92,0.06,41.449714,-82.108900,180.3,3.3,
166,1.80,7.46,0.69,200.52,0.06,41.449713,-82.108900,180.8,3.3,
168,1.82,7.13,0.70,203.61,0.06,41.449712,-82.108899,181.1,3.3,
170,1.85,6.01,0.70,209.83,0.06,41.449711,-82.108899,181.3,3.9,
172,1.87,5.61,0.68,221.35,0.05,41.449713,-82.108904,180.9,3.9,
174,1.89,6.16,0.71,232.48,0.05,41.449714,-82.108908,180.7,3.9,
176,1.91,6.02,0.64,210.39,0.05,41.449717,-82.108912,180.4,3.9,
178,1.93,6.46,0.49,162.04,0.05,41.449723,-82.108917,179.8,3.9,
180,1.94,6.46,0.39,136.70,0.05,41.449728,-82.108923,179.1,3.8,
182,1.95,6.25,0.43,164.56,0.04,41.449731,-82.108927,178.8,3.8,
184,1.97,5.29,0.47,199.83,0.04,41.449733,-82.108931,178.5,3.8,
186,1.98,5.00,0.25,82.84,0.05,41.449732,-82.108932,178.7,3.8,
188,1.98,4.94,0.15,47.08,0.06,41.449734,-82.108934,178.9,3.8,l
190,1.98,4.90,0.05,15.38,0.07,41.449737,-82.108932,179.1,3.8,lm
192,1.98,4.84,0.01,2.55,0.07,41.449741,-82.108929,179.0,3.8,lm
