Serial Number,WF5141158
Sample ID,00054
Start Time,2023-08-16 19:15:36 UTC
Duration,32 days, 23:28:01
Total Volume (l),1.97
Distance (m),347
Peak Pressure (psi),6.9
Avg Flow (l/min),0.6
Avg Rate (mL/m),22.6
Avg Speed (m/s),1.1


Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (±m),Status
0,0.00,-0.04,0.00,0.00,1.52,41.529630,-82.854953,177.3,3.6,
2,0.00,0.56,0.00,0.00,1.55,41.529655,-82.854940,177.2,3.6,
4,0.00,0.51,0.04,0.42,1.59,41.529679,-82.854926,177.0,3.6,
6,0.00,1.24,0.02,0.21,1.61,41.529701,-82.854911,176.7,3.6,
8,0.00,1.88,0.01,0.10,1.63,41.529725,-82.854897,176.9,3.6,
10,0.00,3.07,0.00,0.00,1.65,41.529750,-82.854881,176.9,3.0,
12,0.00,3.76,0.00,0.00,1.65,41.529774,-82.854866,177.1,3.0,
14,0.01,5.55,0.31,3.13,1.65,41.529797,-82.854851,177.4,3.0,
16,0.04,5.74,0.79,7.97,1.65,41.529821,-82.854836,177.4,3.0,
18,0.08,2.10,0.90,9.07,1.65,41.529844,-82.854819,177.4,3.0,
20,0.10,0.83,0.80,8.07,1.65,41.529866,-82.854802,177.5,3.6,
22,0.13,2.08,0.70,7.08,1.65,41.529890,-82.854782,177.4,3.6,
24,0.15,1.17,0.71,7.20,1.64,41.529916,-82.854763,177.5,3.6,
26,0.17,1.74,0.71,7.22,1.64,41.529943,-82.854743,177.4,3.6,
28,0.20,1.15,0.70,7.16,1.63,41.529969,-82.854724,177.3,3.6,
30,0.22,1.21,0.71,7.29,1.62,41.529995,-82.854704,177.1,3.0,
32,0.24,1.47,0.70,7.23,1.61,41.530022,-82.854685,177.0,3.0,
34,0.27,1.31,0.69,7.14,1.61,41.530050,-82.854665,176.8,3.0,
36,0.29,1.46,0.71,7.36,1.61,41.530077,-82.854646,176.7,3.0,
38,0.31,1.19,0.70,7.29,1.60,41.530104,-82.854629,176.4,3.0,
40,0.34,1.20,0.70,7.29,1.60,41.530131,-82.854611,176.4,3.0,
42,0.36,1.59,0.70,7.30,1.60,41.530158,-82.854594,176.5,3.0,
44,0.38,1.00,0.71,7.40,1.60,41.530185,-82.854577,176.4,3.0,
46,0.41,1.14,0.70,7.29,1.60,41.530212,-82.854560,176.4,3.0,
48,0.43,1.11,0.70,7.28,1.60,41.530238,-82.854544,176.4,3.0,
50,0.46,1.07,0.70,7.28,1.60,41.530264,-82.854529,176.4,3.6,
52,0.48,1.04,0.70,7.27,1.61,41.530291,-82.854514,176.5,3.6,
54,0.50,1.44,0.70,7.26,1.61,41.530318,-82.854500,176.6,3.6,
56,0.52,1.66,0.70,7.26,1.61,41.530345,-82.854484,176.8,3.6,
58,0.55,1.09,0.71,7.34,1.61,41.530371,-82.854466,177.0,3.6,
60,0.57,1.07,0.70,7.23,1.61,41.530397,-82.854449,177.1,2.8,
62,0.59,1.78,0.69,7.11,1.62,41.530423,-82.854430,177.3,2.8,
64,0.62,1.27,0.71,7.33,1.62,41.530449,-82.854411,177.7,2.8,
66,0.64,1.57,0.69,7.14,1.61,41.530473,-82.854391,177.8,2.8,
68,0.67,1.27,0.70,7.22,1.62,41.530497,-82.854369,177.8,2.8,
70,0.69,1.76,0.70,7.22,1.62,41.530519,-82.854348,178.0,3.2,
72,0.71,1.61,0.70,7.21,1.62,41.530541,-82.854326,178.0,3.2,
74,0.74,1.44,0.70,7.23,1.61,41.530564,-82.854302,178.0,3.2,
76,0.76,1.74,0.70,7.25,1.61,41.530587,-82.854278,178.0,3.2,
78,0.78,1.78,0.70,7.25,1.61,41.530608,-82.854252,178.0,3.2,
80,0.81,1.50,0.70,7.27,1.60,41.530629,-82.854227,177.9,2.8,
82,0.83,1.71,0.70,7.30,1.60,41.530650,-82.854202,177.9,2.8,
84,0.85,1.82,0.70,7.40,1.58,41.530668,-82.854178,177.7,2.8,
86,0.88,1.74,0.71,7.51,1.57,41.530690,-82.854152,177.7,2.8,
88,0.90,1.52,0.70,7.44,1.57,41.530713,-82.854127,177.8,2.8,
90,0.92,1.61,0.70,7.46,1.56,41.530735,-82.854101,177.9,2.8,
92,0.95,1.42,0.70,7.48,1.56,41.530756,-82.854074,178.1,2.8,
94,0.97,1.34,0.70,7.48,1.56,41.530776,-82.854047,178.3,2.8,
96,0.99,1.37,0.70,7.49,1.56,41.530795,-82.854018,178.4,2.8,
98,1.02,1.46,0.69,7.40,1.55,41.530814,-82.853991,178.6,2.8,
100,1.04,1.27,0.71,7.63,1.55,41.530832,-82.853961,179.1,7.9,
102,1.06,1.57,0.69,7.43,1.55,41.530850,-82.853931,179.7,7.9,
104,1.09,1.36,0.70,7.46,1.56,41.530867,-82.853901,180.1,7.9,
106,1.11,1.52,0.70,7.46,1.56,41.530884,-82.853870,180.4,7.9,
108,1.13,1.05,0.71,7.58,1.56,41.530901,-82.853840,180.5,7.9,
110,1.16,1.65,0.69,7.36,1.56,41.530918,-82.853809,180.6,2.8,
112,1.18,1.44,0.70,7.46,1.56,41.530935,-82.853778,180.7,2.8,
114,1.20,1.41,0.70,7.46,1.56,41.530951,-82.853746,180.7,2.8,
116,1.23,1.28,0.70,7.46,1.56,41.530967,-82.853715,180.8,2.8,
118,1.25,1.59,0.70,7.45,1.57,41.530982,-82.853684,180.8,2.8,
120,1.27,1.40,0.70,7.45,1.57,41.530999,-82.853653,180.9,2.8,
122,1.30,1.34,0.70,7.44,1.57,41.531014,-82.853622,181.1,2.8,
124,1.32,1.35,0.71,7.52,1.57,41.531030,-82.853591,181.2,2.8,
126,1.34,1.46,0.69,7.31,1.57,41.531046,-82.853559,181.2,2.8,
128,1.37,1.16,0.71,7.54,1.57,41.531061,-82.853528,181.2,2.8,
130,1.39,1.62,0.70,7.46,1.56,41.531079,-82.853500,181.1,2.8,
